Time,I1,target
2.84E-05,147.6287897,1
0.000426383,147.636072,1
0.000824442,147.6431364,1
0.001222578,147.6499864,1
0.001620792,147.6566254,1
0.002019082,147.6630567,1
0.002417446,147.6692839,1
0.002815883,147.6753104,1
0.003214391,147.6811395,1
0.00361297,147.6867748,1
0.004011617,147.6922196,1
0.004410332,147.6974774,1
0.004809112,147.7025516,1
0.005207956,147.7074456,1
0.005606864,147.7121629,1
0.006005833,147.7167069,1
0.006404863,147.721081,1
0.006803951,147.7252886,1
0.007203096,147.7293333,1
0.007602297,147.7332183,1
0.008001553,147.7369472,1
0.008400862,147.7405233,1
0.008800223,147.7439501,1
0.009199634,147.7472311,1
0.009599093,147.7503696,1
0.0099986,147.7533691,1
0.010398153,147.756233,1
0.010797751,147.7589647,1
0.011197392,147.7615677,1
0.011597074,147.7640454,1
0.011996797,147.7664012,1
0.012396559,147.7686386,1
0.012796358,147.7707609,1
0.013196193,147.7727717,1
0.013596063,147.7746743,1
0.013995966,147.7764721,1
0.014395901,147.7781687,1
0.014795867,147.7797674,1
0.015195861,147.7812717,1
0.015595883,147.7826849,1
0.015995931,147.7840105,1
0.016396004,147.785252,1
0.0167961,147.7864128,1
0.017196218,147.7874962,1
0.017596357,147.7885058,1
0.017996515,147.789445,1
0.01839669,147.7903171,1
0.018796882,147.7911256,1
0.019197088,147.791874,1
0.019597308,147.7925657,1
0.020198405,147.794211,1
0.020599161,147.795777,1
0.02099999,147.7972697,1
0.021399985,147.7966579,1
0.02179998,147.7981375,1
0.022199975,147.8000975,1
0.022599971,147.8015893,1
0.022999967,147.8017231,1
0.023399964,147.8026102,1
0.023799961,147.8017839,1
0.024199959,147.8016394,1
0.024599957,147.8016608,1
0.024999956,147.8024438,1
0.025399955,147.8030396,1
0.025799957,147.803445,1
0.026199957,147.8046031,1
0.02659996,147.8053115,1
0.026999964,147.8067694,1
0.027399968,147.8081212,1
0.027799972,147.8093667,1
0.028199976,147.80962,1
0.028599981,147.8127083,1
0.028999986,147.8141163,1
0.029399993,147.8151062,1
0.0298,147.8154536,1
0.0302,147.8140166,1
0.0306,147.8131033,1
0.031,147.8144226,1
0.0314,147.8149432,1
0.0318,147.8161221,1
0.0322,147.8167908,1
0.0326,147.8162149,1
0.033,147.8156253,1
0.0334,147.8123936,1
0.0338,147.8093216,1
0.0342,147.806148,1
0.0346,147.805749,1
0.035,147.8046553,1
0.0354,147.8034949,1
0.0358,147.8031214,1
0.0362,147.801417,1
0.0366,147.8002406,1
0.037,147.7990197,1
0.0374,147.7968668,1
0.0378,147.7959553,1
0.0382,147.7960287,1
0.0386,147.7952558,1
0.039,147.7948667,1
0.0394,147.7943501,1
0.0398,147.7931343,1
0.0402,147.7924175,1
0.0406,147.7931432,1
0.041,147.7943355,1
0.0414,147.7961902,1
0.0418,147.7980785,1
0.0422,147.8002875,1
0.0426,147.8007925,1
0.043,147.8019948,1
0.0434,147.8023178,1
0.0438,147.8027056,1
0.0442,147.8040723,1
0.0446,147.8045862,1
0.045,147.8060472,1
0.0454,147.8080499,1
0.0458,147.8090792,1
0.0462,147.8101402,1
0.0466,147.8106019,1
0.047,147.8112582,1
0.0474,147.8114773,1
0.0478,147.812774,1
0.0482,147.8115753,1
0.0486,147.8112252,1
0.049,147.8102349,1
0.0494,147.809802,1
0.0498,147.8093235,1
0.0502,147.8085117,1
0.0506,147.8079942,1
0.051,147.8063721,1
0.0514,147.8081001,1
0.0518,147.8094564,1
0.0522,147.809331,1
0.0526,147.8107852,1
0.053,147.8117029,1
0.0534,147.8114537,1
0.0538,147.8123775,1
0.0542,147.8134983,1
0.0546,147.8144715,1
0.055,147.8168441,1
0.0554,147.8179621,1
0.0558,147.8178267,1
0.0562,147.8185838,1
0.0566,147.8193781,1
0.057,147.8198949,1
0.0574,147.8198189,1
0.0578,147.8197195,1
0.0582,147.8207967,1
0.0586,147.8215952,1
0.059,147.8230915,1
0.0594,147.8226298,1
0.0598,147.8228654,1
0.0602,147.8249081,1
0.0606,147.8257274,1
0.061,147.8262693,1
0.0614,147.8287402,1
0.0618,147.8295395,1
0.0622,147.8303184,1
0.0626,147.8298752,1
0.063,147.8301285,1
0.0634,147.8307614,1
0.0638,147.8325685,1
0.0642,147.8343197,1
0.0646,147.8363317,1
0.065,147.8376602,1
0.0654,147.8391318,1
0.0658,147.8367234,1
0.0662,147.835954,1
0.0666,147.8363546,1
0.067,147.8357769,1
0.0674,147.8345932,1
0.0678,147.8340004,1
0.0682,147.8334251,1
0.0686,147.8301164,1
0.069,147.8285256,1
0.0694,147.8269059,1
0.0698,147.8279403,1
0.0702,147.8298276,1
0.0706,147.8301677,1
0.071,147.8285848,1
0.0714,147.8268465,1
0.0718,147.8243178,1
0.0722,147.8213388,1
0.0726,147.8221677,1
0.073,147.8213708,1
0.0734,147.8227307,1
0.0738,147.8245685,1
0.0742,147.8272032,1
0.0746,147.8263453,1
0.075,147.8260767,1
0.0754,147.8261107,1
0.0758,147.8249003,1
0.0762,147.823989,1
0.0766,147.8231492,1
0.077,147.8218077,1
0.0774,147.8229342,1
0.0778,147.8246378,1
0.0782,147.823948,1
0.0786,147.824496,1
0.079,147.8259365,1
0.0794,147.8282713,1
0.0798,147.8309334,1
0.0802,147.8330712,1
0.0806,147.8344323,1
0.081,147.834102,1
0.0814,147.8338198,1
0.0818,147.8332379,1
0.0822,147.8332091,1
0.0826,147.834963,1
0.083,147.8346723,1
0.0834,147.836479,1
0.0838,147.8371265,1
0.0842,147.8369895,1
0.0846,147.8372669,1
0.085,147.8373562,1
0.0854,147.8376756,1
0.0858,147.8393344,1
0.0862,147.8406221,1
0.0866,147.8418546,1
0.087,147.84066,1
0.0874,147.8392414,1
0.0878,147.8393057,1
0.0882,147.8396499,1
0.0886,147.8400775,1
0.089,147.8405873,1
0.0894,147.8403223,1
0.0898,147.8416218,1
0.0902,147.84351,1
0.0906,147.845102,1
0.091,147.848005,1
0.0914,147.8473873,1
0.0918,147.8478994,1
0.0922,147.8490289,1
0.0926,147.8510604,1
0.093,147.8524188,1
0.0934,147.8543651,1
0.0938,147.8547836,1
0.0942,147.8545282,1
0.0946,147.8533106,1
0.095,147.8520421,1
0.0954,147.851033,1
0.0958,147.8526516,1
0.0962,147.8524096,1
0.0966,147.852767,1
0.097,147.8536625,1
0.0974,147.854781,1
0.0978,147.8560929,1
0.0982,147.855227,1
0.0986,147.8549582,1
0.099,147.8552845,1
0.0994,147.8571214,1
0.0998,147.8574981,1
0.1002,147.8554983,1
0.1006,147.855576,1
0.101,147.8559282,1
0.1014,147.8556983,1
0.1018,147.85523,1
0.1022,147.8550614,1
0.1026,147.8560766,1
0.103,147.857165,1
0.1034,147.8582672,1
0.1038,147.8560655,1
0.1042,147.8564999,1
0.1046,147.8561615,1
0.105,147.8545077,1
0.1054,147.8524505,1
0.1058,147.8529427,1
0.1062,147.8548432,1
0.1066,147.8551665,1
0.107,147.8557139,1
0.1074,147.8574613,1
0.1078,147.8591499,1
0.1082,147.8596409,1
0.1086,147.8617121,1
0.109,147.8629339,1
0.1094,147.8639383,1
0.1098,147.8623234,1
0.1102,147.8610274,1
0.1106,147.8611873,1
0.111,147.8624566,1
0.1114,147.8616382,1
0.1118,147.8620774,1
0.1122,147.8637436,1
0.1126,147.8641161,1
0.113,147.8640203,1
0.1134,147.8639203,1
0.1138,147.8632444,1
0.1142,147.8628759,1
0.1146,147.8622725,1
0.115,147.8629184,1
0.1154,147.8620957,1
0.1158,147.862234,1
0.1162,147.8627615,1
